date_key,date,year,month,month_name,quarter,week,day_of_week,is_weekend,season
20250101,2025-01-01,2025,1,January,Q1,1,Wednesday,False,Low
20250102,2025-01-02,2025,1,January,Q1,1,Thursday,False,Low
20250103,2025-01-03,2025,1,January,Q1,1,Friday,False,Low
20250104,2025-01-04,2025,1,January,Q1,1,Saturday,True,Low
20250105,2025-01-05,2025,1,January,Q1,1,Sunday,True,Low
20250106,2025-01-06,2025,1,January,Q1,2,Monday,False,Low
20250107,2025-01-07,2025,1,January,Q1,2,Tuesday,False,Low
20250108,2025-01-08,2025,1,January,Q1,2,Wednesday,False,Low
20250109,2025-01-09,2025,1,January,Q1,2,Thursday,False,Low
20250110,2025-01-10,2025,1,January,Q1,2,Friday,False,Low
20250111,2025-01-11,2025,1,January,Q1,2,Saturday,True,Low
20250112,2025-01-12,2025,1,January,Q1,2,Sunday,True,Low
20250113,2025-01-13,2025,1,January,Q1,3,Monday,False,Low
20250114,2025-01-14,2025,1,January,Q1,3,Tuesday,False,Low
20250115,2025-01-15,2025,1,January,Q1,3,Wednesday,False,Low
20250116,2025-01-16,2025,1,January,Q1,3,Thursday,False,Low
20250117,2025-01-17,2025,1,January,Q1,3,Friday,False,Low
20250118,2025-01-18,2025,1,January,Q1,3,Saturday,True,Low
20250119,2025-01-19,2025,1,January,Q1,3,Sunday,True,Low
20250120,2025-01-20,2025,1,January,Q1,4,Monday,False,Low
20250121,2025-01-21,2025,1,January,Q1,4,Tuesday,False,Low
20250122,2025-01-22,2025,1,January,Q1,4,Wednesday,False,Low
20250123,2025-01-23,2025,1,January,Q1,4,Thursday,False,Low
20250124,2025-01-24,2025,1,January,Q1,4,Friday,False,Low
20250125,2025-01-25,2025,1,January,Q1,4,Saturday,True,Low
20250126,2025-01-26,2025,1,January,Q1,4,Sunday,True,Low
20250127,2025-01-27,2025,1,January,Q1,5,Monday,False,Low
20250128,2025-01-28,2025,1,January,Q1,5,Tuesday,False,Low
20250129,2025-01-29,2025,1,January,Q1,5,Wednesday,False,Low
20250130,2025-01-30,2025,1,January,Q1,5,Thursday,False,Low
20250131,2025-01-31,2025,1,January,Q1,5,Friday,False,Low
20250201,2025-02-01,2025,2,February,Q1,5,Saturday,True,Low
20250202,2025-02-02,2025,2,February,Q1,5,Sunday,True,Low
20250203,2025-02-03,2025,2,February,Q1,6,Monday,False,Low
20250204,2025-02-04,2025,2,February,Q1,6,Tuesday,False,Low
20250205,2025-02-05,2025,2,February,Q1,6,Wednesday,False,Low
20250206,2025-02-06,2025,2,February,Q1,6,Thursday,False,Low
20250207,2025-02-07,2025,2,February,Q1,6,Friday,False,Low
20250208,2025-02-08,2025,2,February,Q1,6,Saturday,True,Low
20250209,2025-02-09,2025,2,February,Q1,6,Sunday,True,Low
20250210,2025-02-10,2025,2,February,Q1,7,Monday,False,Low
