booking_id,hotel_id,guest_id,room_type_id,promotion_id,booking_date,check_in_date,check_out_date,stay_nights,adults,children,booking_channel,booking_status,cancellation_flag,cancellation_date,adr_try,room_revenue_try,food_beverage_revenue_try,other_revenue_try,gross_revenue_try,cancellation_fee_try,realized_revenue_try,nationality
B00001,H001,G01482,RT01,P002,2025-05-25,2025-06-09,2025-06-14,5,2,0,Expedia,Cancelled,1,2025-06-04,3458.13,17290.65,3097.71,408.13,20796.49,2593.6,2593.6,British
B00002,H001,G00201,RT01,P003,2026-08-21,2026-10-17,2026-10-22,5,2,1,Booking.com,Confirmed,0,,2354.99,11774.95,1347.21,487.73,13609.89,0.0,13609.89,British
B00003,H001,G00096,RT02,P000,2026-09-28,2026-11-06,2026-11-10,4,4,0,Corporate,Confirmed,0,,3087.5,12350.0,1641.95,506.4,14498.35,0.0,14498.35,British
B00004,H001,G02039,RT03,P000,2025-04-20,2025-05-15,2025-05-22,7,3,0,Direct Website,Completed,0,,4334.14,30338.98,2511.14,1322.78,34172.9,0.0,34172.9,Turkish
B00005,H001,G01560,RT02,P000,2026-03-04,2026-04-03,2026-04-06,3,2,0,Booking.com,Completed,0,,3185.45,9556.35,1537.05,403.36,11496.76,0.0,11496.76,Turkish
B00006,H001,G01305,RT06,P000,2026-08-10,2026-11-15,2026-11-18,3,3,0,Booking.com,Confirmed,0,,6820.65,20461.95,1708.88,789.09,22959.92,0.0,22959.92,British
B00007,H001,G02085,RT01,P003,2026-08-17,2026-09-12,2026-09-17,5,2,0,Direct Phone,Confirmed,0,,3134.06,15670.3,1650.42,351.62,17672.34,0.0,17672.34,Turkish
B00008,H001,G02000,RT01,P002,2026-04-25,2026-07-22,2026-07-30,8,2,1,Travel Agent,Completed,0,,3565.99,28527.92,5497.44,724.7,34750.06,0.0,34750.06,British
B00009,H001,G01318,RT01,P001,2026-11-17,2027-01-13,2027-01-16,3,1,0,Expedia,Confirmed,0,,1829.56,5488.68,660.38,274.94,6424.0,0.0,6424.0,French
B00010,H001,G01601,RT01,P003,2025-07-29,2025-09-20,2025-09-28,8,2,0,Direct Website,Completed,0,,2963.2,23705.6,3079.71,541.34,27326.65,0.0,27326.65,British
B00011,H001,G01915,RT01,P000,2026-09-18,2026-10-22,2026-10-24,2,2,1,Direct Website,Confirmed,0,,3139.03,6278.06,1375.08,357.95,8011.09,0.0,8011.09,Turkish
B00012,H001,G02026,RT02,P001,2026-12-29,2027-01-17,2027-01-25,8,2,0,Direct Website,Cancelled,1,2027-01-15,2366.3,18930.4,2251.1,384.44,21565.94,2839.56,2839.56,British
B00013,H001,G00381,RT01,P003,2025-07-09,2025-07-27,2025-08-03,7,2,1,Direct Website,Completed,0,,3498.59,24490.13,3564.47,279.32,28333.92,0.0,28333.92,British
B00014,H001,G01254,RT03,P003,2025-07-14,2025-08-23,2025-08-28,5,2,0,Corporate,Completed,0,,5908.85,29544.25,4152.46,1099.57,34796.28,0.0,34796.28,Turkish
B00015,H001,G02440,RT05,P004,2025-02-12,2025-02-14,2025-02-16,2,2,0,Direct Website,Completed,0,,4766.84,9533.68,1542.34,391.4,11467.42,0.0,11467.42,Turkish
B00016,H001,G02153,RT06,P000,2025-09-11,2025-11-03,2025-11-07,4,3,0,Direct Website,Completed,0,,5886.24,23544.96,2246.76,1364.51,27156.23,0.0,27156.23,Turkish
B00017,H001,G00985,RT01,P000,2025-08-30,2025-09-30,2025-10-04,4,3,0,Direct Website,Completed,0,,3885.59,15542.36,1513.59,730.23,17786.18,0.0,17786.18,German
B00018,H001,G01495,RT01,P000,2026-07-26,2026-08-27,2026-09-01,5,4,0,Booking.com,Confirmed,0,,4234.09,21170.45,4315.27,643.92,26129.64,0.0,26129.64,British
B00019,H001,G01078,RT01,P003,2025-03-02,2025-06-05,2025-06-12,7,3,2,Travel Agent,Completed,0,,2969.64,20787.48,2009.24,209.94,23006.66,0.0,23006.66,German
B00020,H001,G01993,RT03,P000,2025-07-30,2025-08-13,2025-08-14,1,3,0,Direct Website,Completed,0,,6882.41,6882.41,743.51,133.2,7759.12,0.0,7759.12,British
B00021,H001,G01987,RT01,P000,2025-02-02,2025-03-01,2025-03-04,3,2,0,Travel Agent,Completed,0,,2512.67,7538.01,1043.01,232.33,8813.35,0.0,8813.35,Turkish
B00022,H001,G01843,RT05,P000,2025-10-11,2025-10-17,2025-10-21,4,2,0,Corporate,Completed,0,,7446.18,29784.72,3764.44,1104.41,34653.57,0.0,34653.57,Russian
B00023,H001,G01856,RT02,P000,2026-04-04,2026-04-30,2026-05-03,3,1,0,Travel Agent,Completed,0,,3503.41,10510.23,1987.35,636.66,13134.24,0.0,13134.24,British
B00024,H001,G00739,RT02,P005,2025-07-24,2025-09-07,2025-09-09,2,3,0,Booking.com,Cancelled,1,2025-07-25,4195.32,8390.64,1583.0,411.69,10385.33,1258.6,1258.6,British
B00025,H001,G02368,RT04,P000,2026-01-10,2026-01-12,2026-01-16,4,2,2,Booking.com,Completed,0,,4116.76,16467.04,2789.4,865.46,20121.9,0.0,20121.9,Turkish
B00026,H001,G01193,RT01,P000,2026-08-07,2026-08-31,2026-09-03,3,2,0,Expedia,Confirmed,0,,4269.22,12807.66,2245.61,129.59,15182.86,0.0,15182.86,French
B00027,H001,G00137,RT01,P003,2026-08-24,2026-09-12,2026-09-17,5,3,1,Direct Website,Confirmed,0,,2884.64,14423.2,1510.14,952.86,16886.2,0.0,16886.2,British
B00028,H001,G01243,RT04,P001,2026-05-15,2026-06-11,2026-06-14,3,2,0,Booking.com,Completed,0,,6091.93,18275.79,3303.33,777.05,22356.17,0.0,22356.17,German
B00029,H001,G00902,RT03,P006,2026-03-19,2026-04-14,2026-04-19,5,3,0,Direct Website,Cancelled,1,2026-04-07,3975.13,19875.65,2719.34,1229.46,23824.45,2981.35,2981.35,German
B00030,H001,G01464,RT04,P006,2025-08-13,2025-11-10,2025-11-11,1,2,2,Direct Website,Completed,0,,4189.64,4189.64,417.96,112.78,4720.38,0.0,4720.38,British
B00031,H001,G01166,RT02,P005,2026-06-11,2026-09-25,2026-10-01,6,2,1,Direct Website,Confirmed,0,,4452.95,26717.7,4559.33,605.45,31882.48,0.0,31882.48,Turkish
B00032,H001,G00594,RT01,P003,2026-02-07,2026-02-26,2026-03-04,6,2,0,Booking.com,Completed,0,,1949.79,11698.74,1568.1,510.56,13777.4,0.0,13777.4,British
B00033,H001,G01358,RT05,P001,2025-10-06,2025-10-14,2025-10-16,2,1,0,Corporate,Completed,0,,5512.59,11025.18,1632.62,647.17,13304.97,0.0,13304.97,Turkish
B00034,H001,G01283,RT02,P003,2026-08-27,2026-09-12,2026-09-17,5,2,2,Corporate,Confirmed,0,,3811.91,19059.55,1772.13,806.62,21638.3,0.0,21638.3,Turkish
B00035,H001,G00797,RT02,P000,2025-08-12,2025-09-11,2025-09-17,6,3,1,Expedia,Completed,0,,4967.58,29805.48,6083.44,1186.44,37075.36,0.0,37075.36,Turkish
B00036,H001,G02044,RT03,P003,2025-09-27,2025-12-11,2025-12-17,6,2,0,Travel Agent,Completed,0,,2690.31,16141.86,1742.8,1089.18,18973.84,0.0,18973.84,British
B00037,H001,G00481,RT02,P000,2025-07-23,2025-08-01,2025-08-03,2,3,0,Direct Phone,Completed,0,,6021.6,12043.2,2519.03,695.59,15257.82,0.0,15257.82,French
B00038,H001,G00151,RT01,P001,2025-03-21,2025-04-05,2025-04-08,3,3,1,Booking.com,Completed,0,,2033.88,6101.64,624.6,147.66,6873.9,0.0,6873.9,British
B00039,H001,G01686,RT05,P000,2026-04-15,2026-05-26,2026-05-29,3,2,0,Corporate,Completed,0,,7344.42,22033.26,2085.75,781.74,24900.75,0.0,24900.75,Turkish
B00040,H001,G00418,RT06,P006,2026-09-10,2026-09-12,2026-09-26,14,2,0,Direct Website,Cancelled,1,2026-09-11,9366.05,131124.7,15016.42,5060.21,151201.33,19668.71,19668.71,Turkish
