date,hotel_id,room_type_id,available_rooms,occupied_rooms,available_for_sale_rooms,occupancy_rate
2025-01-01,H001,RT01,42,0,42,0.0
2025-01-01,H001,RT02,30,0,30,0.0
2025-01-01,H001,RT03,20,0,20,0.0
2025-01-01,H001,RT04,12,0,12,0.0
2025-01-01,H001,RT05,9,0,9,0.0
2025-01-01,H001,RT06,7,0,7,0.0
2025-01-02,H001,RT01,42,0,42,0.0
2025-01-02,H001,RT02,30,0,30,0.0
2025-01-02,H001,RT03,20,0,20,0.0
2025-01-02,H001,RT04,12,0,12,0.0
2025-01-02,H001,RT05,9,0,9,0.0
2025-01-02,H001,RT06,7,0,7,0.0
2025-01-03,H001,RT01,42,0,42,0.0
2025-01-03,H001,RT02,30,0,30,0.0
2025-01-03,H001,RT03,20,0,20,0.0
2025-01-03,H001,RT04,12,0,12,0.0
2025-01-03,H001,RT05,9,0,9,0.0
2025-01-03,H001,RT06,7,0,7,0.0
2025-01-04,H001,RT01,42,0,42,0.0
2025-01-04,H001,RT02,30,0,30,0.0
2025-01-04,H001,RT03,20,0,20,0.0
2025-01-04,H001,RT04,12,0,12,0.0
2025-01-04,H001,RT05,9,0,9,0.0
2025-01-04,H001,RT06,7,0,7,0.0
2025-01-05,H001,RT01,42,0,42,0.0
2025-01-05,H001,RT02,30,0,30,0.0
2025-01-05,H001,RT03,20,0,20,0.0
2025-01-05,H001,RT04,12,0,12,0.0
2025-01-05,H001,RT05,9,0,9,0.0
2025-01-05,H001,RT06,7,0,7,0.0
2025-01-06,H001,RT01,42,0,42,0.0
2025-01-06,H001,RT02,30,0,30,0.0
2025-01-06,H001,RT03,20,0,20,0.0
2025-01-06,H001,RT04,12,0,12,0.0
2025-01-06,H001,RT05,9,0,9,0.0
2025-01-06,H001,RT06,7,0,7,0.0
2025-01-07,H001,RT01,42,1,41,0.0238
2025-01-07,H001,RT02,30,1,29,0.0333
2025-01-07,H001,RT03,20,0,20,0.0
2025-01-07,H001,RT04,12,0,12,0.0
2025-01-07,H001,RT05,9,0,9,0.0
2025-01-07,H001,RT06,7,0,7,0.0
2025-01-08,H001,RT01,42,2,40,0.0476
2025-01-08,H001,RT02,30,2,28,0.0667
2025-01-08,H001,RT03,20,0,20,0.0
2025-01-08,H001,RT04,12,0,12,0.0
2025-01-08,H001,RT05,9,0,9,0.0
2025-01-08,H001,RT06,7,0,7,0.0
2025-01-09,H001,RT01,42,1,41,0.0238
2025-01-09,H001,RT02,30,4,26,0.1333
2025-01-09,H001,RT03,20,1,19,0.05
2025-01-09,H001,RT04,12,0,12,0.0
2025-01-09,H001,RT05,9,1,8,0.1111
2025-01-09,H001,RT06,7,0,7,0.0
2025-01-10,H001,RT01,42,0,42,0.0
2025-01-10,H001,RT02,30,2,28,0.0667
2025-01-10,H001,RT03,20,1,19,0.05
2025-01-10,H001,RT04,12,0,12,0.0
